sample_id,text,annotator_layer1,annotator_layer2,annotator_speaker_role,annotator_confidence,annotator_notes
G001,Pada 2012 enam juta password akun profesional Linkedln serta 58 ribu lebih akun Twitter dibobol oleh hacker via http://t.co/9H1AGBRSSj,,,,,
G002,Bagus nih untuk mendidik dan mengedukasi Sdm rendah yg kepala batu susah dikasih paham. Semoga mereka cepet tobat yg masih main judol,,,,,
G003,Komdigi Gandeng Mafindo Siapkan Alat Deteksi Deepfake Gunakan AI https://t.co/sNplR0Rj8F,,,,,
G004,Masya Allah akting nya bagus bgt deh👏,,,,,
G005,"aku dlu juga pecandu judi Alhamdulillah sekarang udh anti judi sekitar 2 tahunan, awal main cuma modal 15k tpi di kasih jadi 100k dari situ lah mulai sering deposit",,,,,
G006,Selalu waspada dan semoga kita terhindar dari segala bentuk modus penipuan,,,,,
G007,"Mas mau reques, tolong d bongkar untuk judi bolanya",,,,,
G008,kalau togel online gmna mas marcel masih settingan?,,,,,
G009,Ini apk penipuan kah??? https://t.co/9JiQI7aky7,,,,,
G010,"Viral Pria Tempel Stiker QRIS Palsu di Masjid, Polisi Selidiki dan Buru Pelaku https://t.co/WVI8hWAWfl",,,,,
G011,"Mantap konten y,, sya yg slah dtng maen judol,, saya akan berhenti,,",,,,,
G012,Ttp aj gk bisa,,,,,
G013,Gawat! 250 Ribu Akun Twitter Dibobol http://t.co/IqnhvuQ2 via @detikinet,,,,,
G014,"Deepfake: Kebenaran atau Kebohongan? 
Dengan kemajuan teknologi AI, deepfake semakin sulit dibedakan dari kenyataan. Bagaimana cara mendeteksi konten palsu ini?
Ciri-ciri deepfake:
- Gerakan wajah tidak alami
- Perubahan cahaya tidak konsisten
#InterLink #ITLG #ITL",,,,,
G015,"Saksikan #NILUH episode “TIPU-TIPU QRIS PALSU”, malam ini pkl 20.30 WIB, hanya di @KompasTV  

Streaming: https://t.co/rUTSoY8ekA https://t.co/axPJUuZXSk",,,,,
G016,"Fantastis! Pelaku Tukar QRIS Kotak Amal Masjid Raup Rp13 Juta dalam Sepekan
https://t.co/B3sn3geE8h",,,,,
