sample_id,unified_id,platform,source_category,vector_hint,weak_layer1,weak_layer2,weak_speaker_role,lm_confidence
G001,UID054217,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G002,UID040271,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G003,UID053482,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G004,UID029270,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G005,UID038979,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G006,UID029635,YouTube,phishing_rekayasa_sosial,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G007,UID034240,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G008,UID039796,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G009,UID053543,X,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G010,UID053894,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G011,UID042784,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G012,UID017022,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G013,UID054291,X,peretasan_pencurian_identitas,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.759
G014,UID053472,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G015,UID053677,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G016,UID054001,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G017,UID002709,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G018,UID053481,X,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G019,UID053958,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G020,UID002441,YouTube,deepfake_penipuan_ai,phishing_rekayasa_sosial,tidak_relevan,,,0.2761
G021,UID054052,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G022,UID054499,X,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,peretasan_pencurian_identitas,R2,0.759
G023,UID053149,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8609
G024,UID035153,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G025,UID000000,X,phishing_rekayasa_sosial,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G026,UID030897,YouTube,phishing_rekayasa_sosial,peretasan_pencurian_identitas,relevan,peretasan_pencurian_identitas,R2,0.7591
G027,UID000616,X,malware_apk,malware_apk,relevan,phishing_rekayasa_sosial,R3,0.6302
G028,UID029098,YouTube,phishing_rekayasa_sosial,,tidak_relevan,,,0.0
G029,UID034431,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G030,UID039230,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G031,UID049431,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G032,UID032774,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G033,UID050133,YouTube,malware_apk,,tidak_relevan,,,0.0
G034,UID015978,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G035,UID053895,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G036,UID043362,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G037,UID033975,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G038,UID021743,YouTube,malware_apk,,tidak_relevan,,,0.0
G039,UID046519,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G040,UID035121,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G041,UID051657,YouTube,malware_apk,,tidak_relevan,,,0.0
G042,UID044999,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G043,UID010873,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
G044,UID053821,X,penipuan_ewallet_qris,penipuan_ewallet_qris,relevan,penipuan_ewallet_qris,R2,0.8732
G045,UID016036,YouTube,peretasan_pencurian_identitas,phishing_rekayasa_sosial,relevan,phishing_rekayasa_sosial,R2,0.6302
G046,UID051640,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G047,UID044871,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,1.0
G048,UID047408,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R3,1.0
G049,UID047175,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.7561
G050,UID000538,X,malware_apk,malware_apk,relevan,malware_apk,R3,0.8609
G051,UID003340,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R3,0.9759
G052,UID053028,YouTube,malware_apk,malware_apk,relevan,malware_apk,R2,0.8608
G053,UID003362,YouTube,deepfake_penipuan_ai,deepfake_penipuan_ai,relevan,deepfake_penipuan_ai,R2,0.9759
G054,UID046266,YouTube,judi_online_pinjol,judi_online_pinjol,relevan,judi_online_pinjol,R2,0.9997
G055,UID009322,YouTube,peretasan_pencurian_identitas,,tidak_relevan,,,0.0
