"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2054714009224647001","2026-05-14T00:02:49.000Z","0","@KAI121 cek dm min , kemarin siang bayar tiket pake qris , saldo sudah kesedot , tiket gagal di dapat","2054714009224647001","","KAI121","in","","0","5","0","https://x.com/deva_ace/status/2054714009224647001","101628943","deva_ace"
"2054931857238798793","2026-05-14T14:28:28.000Z","0","Terselamatkan dari kendala QRIS ini. Seharian masih aman, baru pas udah logout baru kendala 😂","2054931857238798793","","","in","","0","0","0","https://x.com/avixena_/status/2054931857238798793","2526234036","avixena_"
"2057035022067228817","2026-05-20T09:45:48.000Z","0","DI HARI BERIKUTNYA DIA NGOMONGIN UDH DPT IZIN CUTI DAN NGEBURU2 TEMEN GUE BUAT TF DUIT JAMINANNYA SUPAYA DIA BISA BALIK. BODOHNYA LAGI REKENING YG DIPAKE NERIMA DUIT ITU BUKAN REKENING PERUSAHAAN. TAPI TEMEN GUE UDAH PERCAYA BANGET JADINYA BENERAN DI TF TANPA MIKIR 2X.","2057035051452547090","","youwrbaby","in","","0","1","0","https://x.com/youwrbaby/status/2057035051452547090","882520106789593096","youwrbaby"
"2055825220452376613","2026-05-18T06:22:26.000Z","0","@fulldenganstack @fleurciaaa @kenjiokmilan Ngibul apaan dah lu sotoy bgt. Ini gw mindahin saldo OVO ke QRIS gue sendiri dan kena potongan sama penerbit QRIS. https://t.co/UBgYWWqWrp","2056259094407975281","https://pbs.twimg.com/media/HIlMvvJbsAANmjI.jpg","fulldenganstack","in","","0","0","0","https://x.com/kemkomdigidaw/status/2056259094407975281","2900439279","kemkomdigidaw"
"2055825220452376613","2026-05-17T09:18:50.000Z","4","@fleurciaaa @kenjiokmilan Gak juga bang. Gua iseng bikin QRIS dr platform ewallet, mereka kena charge admin beberapa persen, tanpa minimal pembayaran. Jadi semua payment besar atau kecil tetep dipotong. Dan yg masuk ke gua, gak full uangnya.","2055941101614440824","","fleurciaaa","in","","2","25","0","https://x.com/kemkomdigidaw/status/2055941101614440824","2900439279","kemkomdigidaw"
"2054626056653676547","2026-05-13T18:13:19.000Z","8","Bagian yang langganan bikin pusing dalam product management: melawan fraud, gimana caranya supaya produk yang kita buat aman dipakai target marketnya? 

Contohnya QRIS ini, dari sisi kepraktisan sangat tinggi, tapi masih banyak celah buat transaksi palsu yang sulit terdeteksi","2054626056653676547","","","in","","0","0","1","https://x.com/bayuamus/status/2054626056653676547","19844990","bayuamus"
"2056648245213102151","2026-05-20T07:30:36.000Z","0","@mini_reirei @SosmedAnu kasus di kota ku karyawan cafe kerjasama begini sih ka, bilangnya qris nya error bahkan gapernah dikasih bill pembayaran tunai

beberapa bulan kemudian kebongkar udah tuh kedok mereka, dipecat semua karyawan yg bilang ga bisa pake qris itu

bos nya rugi belasan juta","2057001025647882381","","mini_reirei","in","","0","0","0","https://x.com/kookiebuun/status/2057001025647882381","1083709633141723138","kookiebuun"
"2056332120310829118","2026-05-18T17:08:34.000Z","0","@danawallet qris palsu aja ada luar biasa","2056421699835531661","","danawallet","in","","0","0","0","https://x.com/nazmisagit599/status/2056421699835531661","979640275898421253","nazmisagit599"
"2054979219147653245","2026-05-14T17:36:40.000Z","0","guys aku di block, pokoknya hati2 yaa dia kalo payment pake qris atas nama ‘OLS Payment Ticket’

kalo ada akun, username atau apapun yang payment nya diminta qris dgn atas nama yg di atas jangan yaaa https://t.co/HfTECAiLZ3","2054979219147653245","https://pbs.twimg.com/media/HITAtMGaIAAkxeW.jpg","","in","","0","0","0","https://x.com/royaltiehao/status/2054979219147653245","1328179086783442944","royaltiehao"
"2055226757910016051","2026-05-15T10:00:18.000Z","1","Barusan dapet cerita dari temen, saldo dia di bc* ketarik semacem pembayaran pake qris, total 600k dari malem sampe dia sadar tadi siang pas mau ambil uang tapi saldonya kosong :(","2055226757910016051","","","in","","0","0","0","https://x.com/IsaacTa_ngis/status/2055226757910016051","1652694041002405889","IsaacTa_ngis"
"2055121020835561647","2026-05-15T13:25:23.000Z","1","@danawallet jangan smpe zonk gara2 qris palsu, good job dana👍","2055278371836436853","","danawallet","in","","0","0","0","https://x.com/kentata_dr/status/2055278371836436853","1926695257770430464","kentata_dr"
"2056648245213102151","2026-05-19T15:25:21.000Z","1","@SosmedAnu Dari sisi pembeli QRIS gak bikin repot kita. Dan dari sisi penjual juga gak repot siapin uang kembalian juga sekalian menghindari uang palsu atau uang yg lusuh","2056758114310103317","","SosmedAnu","in","","0","0","0","https://x.com/piyam/status/2056758114310103317","59539483","piyam"
"2054760104294236581","2026-05-14T03:05:59.000Z","0","QRIS GAGAL MULU TP TRANSAKSI BERHASIL DAN SALDO KEPOTONG KAYA GMN KOCAK ? DI EMAIL LU PEMBERITAHUANNYA GAGAL, TP SALDO KEPOTONG MONYET, UDH GUE LIVE CHAT DAN TELFON CS KAGA BISA SEMUA GAJELAS @HaloBCA","2054760104294236581","","","in","","0","13","0","https://x.com/moonclarv/status/2054760104294236581","1193878643421794304","moonclarv"
"2054918171006755050","2026-05-14T13:34:05.000Z","0","huaa kesel pengen nangis lagi bm gacoan bngt padahal, pas udah sampe sana ga bisa bayar debit sm qris dari dana, giliran udah sampe kosan baru kepikiran kenapa gw ga pindahin saldo ke gopay anjirr","2054918171006755050","","","in","","0","0","0","https://x.com/markiee45/status/2054918171006755050","1263094059981082625","markiee45"
"2056179268141687097","2026-05-18T12:18:38.000Z","2","@sweety222591 Kakk please ya baca ini, kamu harus segera riset semua pw dan email di setiap apk hp kamu, temen ku baru juga kena dari pt ini, 2 kali di hack hp nya dan raib sampe 5jt. Bersihin segera kak, dan lapor ke pihak dana juga biar di track","2056348736708899045","","sweety222591","in","","0","0","0","https://x.com/dojuseju/status/2056348736708899045","1669433038605008897","dojuseju"
"2056136277016347055","2026-05-19T12:30:21.000Z","0","@KampusUpdate Bukti bayar memang bisa jdi bukti tapi Qris itu pihak ketiga bisa saja saat transaksi error uangnya nyangkut entah di Qrisnya atau gagal payment tapi sudah terpotong direkening kita. Aku pernah ngerasain bayar Qris bayar ampe 2 kali satu masuk satu enggak. Perlu ditelusuri mutasi","2056714071274410483","","KampusUpdate","in","","0","0","0","https://x.com/TetsukoHimura/status/2056714071274410483","154691428","TetsukoHimura"
"2054942984555430115","2026-05-14T15:21:07.000Z","0","@bunderrrrrr @bunderrrrrr nvestigasi tim terkait ya. Sbg info, Saat ini, kami belum dapat memastikan proses pengembalian saldo karena masih diperlukan pengecekan lebih lanjut oleh tim terkait. Hati2 dgn pihak yg mengatasnamakan DANA, jgn pernah berikan PIN/OTP dan DANA tdk ada wa ya. Tks -IR-","2054945108005708261","","bunderrrrrr","in","","0","0","0","https://x.com/danawallet/status/2054945108005708261","965871936545816577","danawallet"
"2054573071047266753","2026-05-13T14:42:46.000Z","0","Kayanya qris lagi masalah ya. Gagal terkirim tapi saldo kepotong mana 3x","2054573071047266753","","","in","","0","0","0","https://x.com/newyl_/status/2054573071047266753","793840606917177344","newyl_"
"2054716718866669872","2026-05-14T00:13:35.000Z","2","Bca iki lagi goblok a yo? Bayar qris transaksi gagal, tapi saldo tetep kepotong","2054716718866669872","","","in","","0","2","0","https://x.com/raditiapw/status/2054716718866669872","132587174","raditiapw"
