"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2057033120948563975","2026-05-20T09:38:08.000Z","0","min knp gagal terus ya buat transfer, udah didiemin dulu dari kemaren gak bisa2 terus.. ke bank maupun ke gopay. setiap masuk aplikasi juga selalu begitu @jadijago https://t.co/NBfQSOxIm3","2057033120948563975","https://pbs.twimg.com/media/HIwMtreb0AApGre.jpg","","in","","0","1","0","https://x.com/krimsui/status/2057033120948563975","1908180394027225088","krimsui"
"2056345667451437486","2026-05-20T01:39:03.000Z","0","@leni_bob61113 Tiba-tiba ada pemberitahuan saldo aku kepotong aja kak pas lagi tidur😂","2056912554405109878","","leni_bob61113","in","","0","1","0","https://x.com/sundyves/status/2056912554405109878","1094897693497815042","sundyves"
"2056983280344285456","2026-05-20T06:20:05.000Z","5","💚 Guyssss ada yg pernah punya pengalaman orang minta balikin saldo g*pay gak? 
Katanya sih dia salah kirim, dia jg ada ngasih bukti tf g*pay emg masuk ke saldo ku.
Tapi in this era...
Beneran atau scam yaaa?","2056983280344285456","","","in","","0","8","0","https://x.com/tanyakanrl/status/2056983280344285456","1331650559518990336","tanyakanrl"
"2056328209730511057","2026-05-18T10:57:04.000Z","1","@gopayindonesia Akun GoPay saya tiba-tiba terjadi ""unauthorized transaction"".

Mohon bantuannya, ke mana saya bisa berkomunikasi dengan CS manusia yang bisa menolong saya dalam kasus ini? 🙏🙏","2056328209730511057","","gopayindonesia","in","","0","8","0","https://x.com/erisilvanus/status/2056328209730511057","205328147","erisilvanus"
"2055773616168673447","2026-05-16T22:13:19.000Z","0","saldo saya di brimo kok tiba"" hilang ya min cek mutasi tidak ada pengeluaran apa"" @BANKBRI_ID","2055773616168673447","","","in","","0","5","0","https://x.com/gabriellacinta_/status/2055773616168673447","1023067992647585793","gabriellacinta_"
"2054756382382215636","2026-05-14T02:51:11.000Z","0","ini saldo bsi tiba tiba jadi kosong padahal mau transaksi, kenapa yaa? @bankbsi_id","2054756382382215636","","","in","","0","0","0","https://x.com/nhdddy/status/2054756382382215636","1303920540151738368","nhdddy"
"2057045565297590727","2026-05-20T10:27:35.000Z","0","Bisa bisanya uang gue ilang di rekening. bener bener langsung poof ilang gitu aja","2057045565297590727","","","in","","0","0","0","https://x.com/aallfffiii/status/2057045565297590727","1698230758190768128","aallfffiii"
"2056743775356203016","2026-05-19T14:28:23.000Z","0","Kebangeten tenan atm, ovo, gopay, seabank, shopeepay kabeh kok gak enek isine yo yoooooo 😩 bank e pindah lho muales isi saldo","2056743775356203016","","","in","","0","0","0","https://x.com/retno_wiranti/status/2056743775356203016","309580783","retno_wiranti"
"2057041643996656020","2026-05-20T10:12:00.000Z","0","Mending hati kosong dri pada dompet + saldo atm kosong😭","2057041643996656020","","","in","","0","3","0","https://x.com/kalemajayah/status/2057041643996656020","1312670594203152385","kalemajayah"
"2056329850399637830","2026-05-18T11:03:35.000Z","0","Tiba² gopay gue ada saldonye, tanggal 12 kemaren ada yang ngisi tapi gatau siapa. Ga bisa diliat lagi pengirimnya saha🤔","2056329850399637830","","","in","","0","0","0","https://x.com/imumjimin/status/2056329850399637830","757934056789073920","imumjimin"
"2056934016092364857","2026-05-20T03:04:20.000Z","0","@HaloBCA  Kenapa Saldo saya cek masih cukup di transfer. Tiba-tiba, saya mau transfer, Dana tidak cukup. Pas saya cek saldo. Eh, sudah berkurang. Masalahnya yang saya mau transfer itu beda sama yg sudah hilang. Mohon penjelasannya.","2056934016092364857","","HaloBCA","in","","0","9","0","https://x.com/acha_aina/status/2056934016092364857","1542680206321672225","acha_aina"
"2054834300210872385","2026-05-14T08:00:48.000Z","0","Tiba"" pembayaran berhasil dan saldo berkurang 🙂🤣","2054834300210872385","","","in","","0","0","0","https://x.com/wariwariodi_/status/2054834300210872385","1233428534229487617","wariwariodi_"
"2054396275139715353","2026-05-13T12:56:46.000Z","0","@danawallet @byichaa_ Berarti tiba tiba nol saldo dana saya  tadi pagi gara gara ini mind","2054546394955034746","","danawallet","in","","0","4","0","https://x.com/YusufHamon29571/status/2054546394955034746","1923428481653932034","YusufHamon29571"
"2054755474894180624","2026-05-14T02:47:35.000Z","0","Toko MeowBee di Tokopedia tiba-tiba diblokir AI TikTok Shop dengan tuduhan penyalahgunaan promo, padahal pembeli justru tetap bayar lebih mahal dari penghasilan seller. 🤦
Dua banding diajukan dengan ratusan bukti IMEI dan serial number, keduanya ditolak. Saldo Rp65 juta pun ikut","2054755474894180624","","","in","","0","1","0","https://x.com/MediaKonsumenID/status/2054755474894180624","1117529034","MediaKonsumenID"
"2054562057987780652","2026-05-13T17:32:31.000Z","0","Tadi gak sampe 2 jam tiba tiba saldo balik guys padahal gak lapor cs, tenang aja gausah panik sekelas bca mah ga akan nilep🤣","2054615787189805337","","Kindaannoy","in","","0","2","0","https://x.com/Kindaannoy/status/2054615787189805337","1785013516635869184","Kindaannoy"
"2057039608752570396","2026-05-20T10:03:55.000Z","0","ini no j&amp;t resmi bukan yaaaa?!
masa mau claim refund dana tp malah dikasi barcode untuk scan qris refund tp malah muncul nyaa aku hrs payment 2.000.000 ?!

tolonk dong warga twit bener ga yaa ini, klo penipuan gila sih nangis bgt😭😭😭 @jntexpressid https://t.co/SsDn7YRKzT","2057039608752570396","https://pbs.twimg.com/media/HIwSnqqboAArqLL.jpg","","in","","0","4","0","https://x.com/Pearlll_bae/status/2057039608752570396","1277206811867676673","Pearlll_bae"
"2057045969636925655","2026-05-20T10:29:14.000Z","0","Rasanya langsung pengen gw cut off wkwkkwk😹

Padahal udah nyambung, diskusi bareng, main bareng (ke comipara dah 2x bareng doi), eh ternyata 02

Ya sebetulnya GPP sih karna doi tobat dan nyesel, cuma sakit ati aja gw wkwkwk😹","2057045982265967026","","Antigonus_X","in","","0","0","0","https://x.com/Antigonus_X/status/2057045982265967026","1196075937181270016","Antigonus_X"
"2054608192299233649","2026-05-13T17:02:20.000Z","0","haloo @HaloBCA ini udah 3 jam belum balik balik lagi saldo nya. kaget tadi beli makan 5x transaksi gagal, tiba tiba kepotong. saya terasa sebagai anak kos https://t.co/0Uzg5NyiNy","2054608192299233649","https://pbs.twimg.com/media/HINvPmKaIAAZLct.jpg","","in","","0","18","0","https://x.com/lolfrik123481/status/2054608192299233649","1641375100762206208","lolfrik123481"
"2054827866458849429","2026-05-14T07:35:14.000Z","0","Eh sumpah kalau ngomongin uang, transaksi error tp saldo kepotong tuh pernah ngalamin jg😭 waktu itu (sblm covid), mau nonton konser di jogja, mampir ke atm bn*, pas narik sekian juta di atm, tiba2 muncul tulisan transaksi gagal, tapi pas cek mutasi udah kepotong uangnya😭","2054827866458849429","","","in","","0","1","0","https://x.com/cantikbangeettt/status/2054827866458849429","1220415389793865729","cantikbangeettt"
"2055663200407056437","2026-05-16T15:06:43.000Z","0","@SukaKhilap12 @SukaKhilap12 Hai Kak, kami turut prihatin atas kejadian yang menimpa sepupu Kakak. Agar dapat kami lakukan penanganan, silakan untuk sepupu Kakak dapat menghubungi kami melalui DM dengan menginformasikan detail kronologi lengkap serta bukti transaksi yang memotong saldo. (1)","2055666258050445729","","SukaKhilap12","in","","0","0","0","https://x.com/danawallet/status/2055666258050445729","965871936545816577","danawallet"
"2054942984555430115","2026-05-14T15:21:07.000Z","0","@bunderrrrrr @bunderrrrrr nvestigasi tim terkait ya. Sbg info, Saat ini, kami belum dapat memastikan proses pengembalian saldo karena masih diperlukan pengecekan lebih lanjut oleh tim terkait. Hati2 dgn pihak yg mengatasnamakan DANA, jgn pernah berikan PIN/OTP dan DANA tdk ada wa ya. Tks -IR-","2054945108005708261","","bunderrrrrr","in","","0","0","0","https://x.com/danawallet/status/2054945108005708261","965871936545816577","danawallet"
