id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
Ugyajy5yLbPdLw1Utkp4AaABAg,0,0,"2026-01-25 06:00:04",@MudasirDjafar,Caranya,0,,
UgzNlUX83bU4UnySzHB4AaABAg,0,0,"2025-12-24 23:59:53",@KhomariahAja,"Banyak orang yang sdh tertipu karena AI",0,,
UgzPtxYoLfUDrVqkQBd4AaABAg,0,0,"2025-10-18 13:09:30",@rahmatsubangunbangun7675,"sodaraku hampir saja kena tipu ka",0,,
UgxbCcAl2_V5--p2fdl4AaABAg,0,0,"2025-10-07 23:07:03",@waspadanet,"Dunia digital makin ngeri, tapi gue santai aja. Soalnya gua pake Norton Mobile Security yang jaga data gue 24 jam 😎",0,,
UgyLUfpu6pfs7PLMbL14AaABAg,0,0,"2025-07-10 23:57:58",@jofesong,"Mukanya masih mirip bukan muka orang lain",0,,
UgwOML8S8cg0lcnJbk14AaABAg,0,0,"2025-03-22 12:16:54",@bebyisyu776,"Suamiku baru aja kena mana pake wajah Soimah",0,,
Ugw9z9JhYoTftR1SWth4AaABAg,0,1,"2024-12-21 03:33:03",@Jimi70TV,"Terima kasih infonya bang ❤❤❤",0,,
Ugxk1FK4SywskVNjxt14AaABAg,0,0,"2024-11-20 07:16:29",@Nyimas_Arunika.N,"Gwe ini lagi mau di tipu nih . Cwe terus pura pura nyaranin daftar apk pintu , setiap step pendaftaran harus di screenshot ke dia . Untung nya gwe pinter . Gwe ubah dulu data datanya barus di screenshot. Terus barusan banget di vc cuma ada yang janggal keliatan pakai AI . 😅😅",0,,
UgxIK_J9hB7K9lagtYp4AaABAg,0,0,"2024-09-22 21:52:57",@muhamadamirudin6813,"Mister sebelumnya saya minta mapp saya mauu minta tolong data saya ke pegang Ama orang dia sesalu ngancemm saya mauu nyebarr vidio saya minter dia selaluu minta uang ke saya saya mauu Mita mister tolong heck hp dia apusin vidio saya mister biar saya ngga di peress truss saya cape misterr",0,,
UgzoiiNLAKsMp5GAHeh4AaABAg,0,0,"2024-09-05 02:24:50",@DaniSabila,Ngeriiii,0,,
UgzXj_oUkUWcYd8l0OB4AaABAg,0,0,"2024-07-12 06:08:38",@hanyakomentarcommenter1159,"makin mengerikan. trus statment elon musk Ai lebih berbahaya dari nuklir itu benar ya😮",0,,
UgxSC-D7VDfAwsXplON4AaABAg,0,0,"2024-06-28 15:25:44",@engkongwalang4208,"bisa ngerjain mantan😂😂😂",0,,
Ugxd4Uc2CIXRZLrdk-x4AaABAg,0,0,"2024-06-28 15:25:29",@engkongwalang4208,"Gmna caranya bg😂😂😂",0,,
Ugy8IpmucSYrl3-fNIl4AaABAg,0,0,"2024-03-16 21:54:05",@KhairunnisaIslamiyah,"Koh, misal kita masuk komplek/kantor tertentu diminta meninggalkan KTP, yang jadi pertanyaan apakah satpam bisa menyalahgunakan KTP kita untuk pinjol dengan data KTP kita dan uangnya cair ke rekening dia?",0,,
Ugw_VUIpaJDqAPB9Art4AaABAg,0,0,"2024-03-13 05:10:14",@SuciRahmadiana-bm6ug,"Ngeri ya penipuan jaman skr klu orang gaptek bisa kena nih.",0,,
Ugz4yg0toMniERIM_454AaABAg,0,0,"2024-02-10 07:54:50",@KetutSutama-g8k,"Ternyata kecanggihan thecnologi bisa menjadi boomerang bagi pembuatnya... Ngerti kan?",0,,
UgwQkVdXT887DR9b2mt4AaABAg,0,0,"2024-01-12 00:49:12",@Tumliunsanda,"Betulkah Fasilitas Diklat AI Gratis?",0,,
UgyIJLdz0lXCEhp9bFp4AaABAg,0,0,"2023-12-14 06:40:49",@ramaharyowardanoe3299,"Caranya gimanabg",0,,
UgwSC9pWqD7BX4ZBrZV4AaABAg,0,0,"2023-12-14 02:48:03",@mangenurmancing2683,"jgn terima VC dari nomor tidak dikenal",0,,
Ugwn__m6KRIozLe69bF4AaABAg,0,0,"2023-10-06 22:11:17",@lniartflower9517,"Terimakasih informasinya",0,,
UgwcP2iZ8NMW--ywRep4AaABAg,0,0,"2023-09-29 11:58:18",@pandubintara1858,"Bang mf bert sya pengen belajar cara gimana cara kita tau nama/lokasi seseorang penipu, orang tua saya pernah kena tipu dengan modus ginian. Saya terinspirasi untuk belajr dengan mr bert tapi gak tau dari mna belajar ny,",0,,
UgwA824Tbb6mJZQglBV4AaABAg,0,0,"2023-09-24 04:59:01",@wkccandra7432,"bener ko ada lawan pke itu tapi aku yakin itu ai",0,,
Ugz-17x2lIx5zCG6Od54AaABAg,0,2,"2023-08-17 10:43:55",@allaround9404,"Kita tidak anti teknologi seperti yang DIFITNAHkan para ""Penyembah materialisme."" Tetapi kita TIDAK mau tertipu oleh orang-orang jahat yang mendesain kejahatan dan MOTIVASI jahat dibalik semua 'kemajuan' ini!!! PROPAGANDA itu nyata!!! Bukan halu!!! Bukan hoax.",0,,
UgwRbfwWalognvWvAwJ4AaABAg,0,0,"2023-08-11 09:49:40",@purwantiwandi7318,"thanks bro sangat berguna",0,,
Ugxsl7vkg1OVz-7ZhEN4AaABAg,2,0,"2023-07-25 11:35:40",@rossylestari4339,"Telat banget liatnya😢 temen saya udah ketipu",0,,
Ugxsl7vkg1OVz-7ZhEN4AaABAg.9sa6m6buaUr9tGvcPDDf4I,,0,"2023-08-11 11:56:04",@Dududu-w6p,"Wah gimana ceritanya kak?",1,Ugxsl7vkg1OVz-7ZhEN4AaABAg,@rossylestari4339
Ugxsl7vkg1OVz-7ZhEN4AaABAg.9sa6m6buaUr9tpkICDPLV_,,0,"2023-08-25 09:49:42",@rossylestari4339,"@Dududu-w6p duh, panjang ceritanya. Tadinya kenal di FB, trus ke WA, trus jadi pacar online, trus ketipu.",1,Ugxsl7vkg1OVz-7ZhEN4AaABAg,@rossylestari4339
UgwWk8dmXShdAatPUex4AaABAg,0,0,"2023-07-25 10:44:51",@Tarròqt,"Bg pliss bongkar wajah modus vcs skrg aku ,LG butuh bantuan ABG, no nya masi ada sama aku, tapi saya ga berani sher no nya takut di hack, tlng bantuan nya bg, pliss 😭😭😭 apaa aku krm lewat email ABG aja yah no pelaku nya😭😭😭",0,,
Ugy3SQ2PnYoOd2D8lyl4AaABAg,0,0,"2023-07-18 13:21:36",@floraricemamul9979,❤❤❤❤❤,0,,
UgwTab40_1nt1O2LmLF4AaABAg,0,0,"2023-07-16 02:16:11",@langkahdk,"Mulai skrg klo ga ketemu lgsg jgn percaya 😊",0,,
UgyOuFLw2g4oNA7Ro7R4AaABAg,1,0,"2023-07-15 03:45:51",@nodrops8,"lu aja gaptek hahaha",0,,
UgyOuFLw2g4oNA7Ro7R4AaABAg.9sAX3FdzS9h9sAdzzKapzr,,0,"2023-07-15 04:55:09",@mrbert,"Liat ini. Video cara hacker tersebut. Jelas skali https://youtu.be/aJX5zR2zuyw Gimana coba?",1,UgyOuFLw2g4oNA7Ro7R4AaABAg,@nodrops8
UgwTc3VngjZ2G3d1ltF4AaABAg,0,1,"2023-07-13 03:25:48",@soralaaa,"AI memang mengerikan skrg, lucu sih banyak film jadul padahal yg mamakai Ai sebagai musuh manusia dan terjadi beneran dong lol. ai disalahgunakan sma kriminal, mencuri berbagai aset org lain, udh harus dibuat regulasi buat Ai berlaku di setiap negara",0,,
Ugyraq-LLM31xceyest4AaABAg,0,0,"2023-07-12 04:43:54",@Myn229,"😢😢😢kemaren pakde abis kena 6jt. Pake wajah saya lagi. Udah lngsung lapor polisi",0,,
UgwaT06HH0qvKggthkl4AaABAg,1,0,"2023-07-10 02:49:42",@deviria1546,"Terimakasih atas konten nya...ijin share ya pak",0,,
UgwaT06HH0qvKggthkl4AaABAg.9ryYebA2agf9ry_OHvPSBA,,0,"2023-07-10 03:04:48",@mrbert,Silahkan,1,UgwaT06HH0qvKggthkl4AaABAg,@deviria1546
Ugz6riIVRADzVJKnUwF4AaABAg,0,0,"2023-07-07 22:00:49",@dianwuryasih2949,"Makasih info nya kokoh..banyak pahala untukmu 😊❤",0,,
Ugxu3katRJC67vf4s_94AaABAg,0,0,"2023-07-04 10:02:42",@mach150,"Bang bahas penipuan lewat wa donk",0,,
UgzTR9Q6TPb6I-cbNwR4AaABAg,0,0,"2023-07-04 07:51:43",@norfajri696,Waduh,0,,
UgzPoiVOV8CfhMa_XzJ4AaABAg,0,0,"2023-07-03 11:55:48",@RakjatDjelata88,"Mantap koh info nya❤",0,,
UgxxsTor2Wd3zvwgJup4AaABAg,2,0,"2023-07-03 09:00:54",@enungfauziah7039,"Ini (deepfake) objeknya bisa dipake seperti orang yang sudah meninggal, ya?",0,,
UgxxsTor2Wd3zvwgJup4AaABAg.9rhB_Ks5e8k9rhBqGkB5Fl,,0,"2023-07-03 09:03:13",@mrbert,Bisaaa,1,UgxxsTor2Wd3zvwgJup4AaABAg,@enungfauziah7039
