id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
Ugx1wLmsX6r4MW3i_-F4AaABAg,0,0,"2026-02-07 08:15:58",@zaky5777,"Penipu itu blum prnh dikasih salam olahraga Mkanya gk kapok",0,,
UgwGdjFGvLGS7i6AvfF4AaABAg,0,0,"2025-09-23 06:39:17",@SanLan-02,"Baru 18 September kemarin gw dapat yang ginian, cuma versi Baim wong, kronologinya: awal-awal ia vidio call lewat wa, cuma dengan modus jaringan putus-putus (dia bilang bahwa vidio call kita putus-putus jaringannya di dia) ia lalu matikan vidio call nya dan bilang bahwa ia sendiri adalah Baim Wong dan disuruh untuk ngechat menejernya dengan nomor yang ia kasih. Langsung gw laporin ke pihak wa setelahnya langsung blokir",0,,
UgyvuA2aRlTRllVWn5t4AaABAg,0,0,"2025-09-23 00:33:28",@Annisa-ht8uk,"Alhamdulillah walau terlambat tp q di beri oelajaran. Dan pertolongan Allah itu nyata ada nya.. subhanakka i'ni kuntu minallzolimin buat kalian yang sudah menipu saya Q ikhlas dan berserah q tau ALLAH akan memberi ganjaran Amiin Allahumma Amiin",0,,
UgzjyreDkN5_ZbpTZ254AaABAg,0,0,"2025-09-19 07:44:33",@rblxID001,"Day 1 pake AI🗿",0,,
Ugzk3nUC6D0u9UmG9fN4AaABAg,0,0,"2025-09-17 13:54:22",@almaisaks,"Video Call Deepfake AI Ini Bener-Bener Nggak Masuk Akal",0,,
UgwrTV10h5C5ALs6G514AaABAg,0,1,"2025-09-15 11:26:44",@DellaFmsyah,"Suara dr richard lee",0,,
UgzWAe3EW38k-8CT6Fd4AaABAg,0,0,"2025-09-15 09:35:20",@Sonic-OnicRizz,"0:16 ngomong nya kek bagogo 🗿",0,,
Ugxjb2f12o_phuVlJEV4AaABAg,0,0,"2025-09-12 14:21:07",@Faqih_indo689,"0:30 leher nya benjol🗿",0,,
UgyvQmEzOF0w6hHPWv54AaABAg,0,0,"2025-09-09 23:18:29",@Migra.66,"tadi saja ibu saya ketipu sama video ai, tentang orang masak bayi kudanil trus pembelinya itu islam hati² ges sekarang",0,,
UgxejoGbzTUF58PqlEV4AaABAg,0,0,"2025-09-09 12:21:16",@Kekeriuk,"Saya rafi amad anda dapat rp 5 dari saya rafi amad ya saya rafi amad",0,,
UgyON2qHFR_4tnXDFcV4AaABAg,0,0,"2025-09-08 10:46:34",@foren212,"Temen ibu gw juga ketipu sama ginian, padahal dah di kasih tau beberapa kali sama ibu gw kalau itu palsu, yg lebih parahnya lgi uang yg di TF sama teman ibu gw itu uang hasil minjem ke kakak cewek gw💁",0,,
UgxpZWlX8VT0bIJfrh54AaABAg,0,0,"2025-09-07 14:46:21",@yoiboii6511,"Jir.....rafi ahmad bukannya sunda yak? Kok dialeknya medok 😂😂😂😂",0,,
UgxDZYNASKd5JEBOzcR4AaABAg,0,1,"2025-09-07 09:10:28",@MiloIndonesia-ind,"Ayah gua perna😊",0,,
