id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
UgyxhTynLBA-UPBrhJR4AaABAg,0,0,"2025-08-29 15:15:41",@user-el6ro1iy5q,"Liat mukanya udah enek bgt gw",0,,
Ugy8MfVo8hPdGeiAgad4AaABAg,0,0,"2025-07-26 03:48:42",@creeper30133,"Malukakn atau melakukan?",0,,
UgyXnRN6-X77pUfjlAp4AaABAg,0,0,"2025-07-20 08:25:11",@lova3062,"dah tua harusnya banyakin ibadah.malah nipu.",0,,
UgxcV16ixOeaUxkGGBt4AaABAg,0,0,"2025-07-04 07:15:16",@hachiroku_san4991,"Pokoknya kalo ga keliatan uangnya jangan diisikan dulu",0,,
UgxvsDxsQHW4fU1VzmF4AaABAg,0,0,"2025-07-01 11:44:04",@drizzersilverberg,"ga hanya pulsa/saldo aja, mesti siaga buat barang dagangan juga bisa jadi orang nya ambil barang terus kabur pake motor temennya",0,,
Ugw4_LovnQO8gWmfBXR4AaABAg,0,0,"2025-06-02 13:32:32",@canchandrah154,"Bangsat emg orang2 kek gini.. merugikan banyak orang (termasuk gua sebagai customer). Gua jadi was2 kalau mau tarik tunai di toko madura, takut dikira komplotan penipu niirrr 😂😂😂😂",0,,
UgwUB8KosRzG6M4Yfz94AaABAg,0,0,"2025-03-09 05:09:45",@WiwinWidiawati-i8k,"Intinya penjaga conter hrs waspada terima dilu uangnya itung periksa baru isi",0,,
UgwUuha5LvbylqTNnzR4AaABAg,0,0,"2025-01-30 06:26:57",@endangsriwinarni152,"Keren mas ! Pinter mas nya, cb kl sudah di isi beneran kan raib tuh duit 200 rb....",0,,
UgxSKyj6CZcgm-9MwvR4AaABAg,0,0,"2025-01-27 06:04:55",@cakalwichannel,"😂😂😂buaya dikadali",0,,
UgwGva1U0EAXYAAeJmt4AaABAg,0,0,"2025-01-24 13:29:45",@SulastriSulastri-qn2oz,"Untung mas nya pinter👍👍👍👍",0,,
UgwXQf8aroOUML52orx4AaABAg,0,0,"2025-01-24 13:29:45",@SulastriSulastri-qn2oz,"Untung mas nya pinter👍👍👍👍",0,,
UgwS03xpcHy4aWT2F3h4AaABAg,0,1,"2025-01-23 09:08:42",@aasan8890,"Sederhana saja. Bayar dulu baru saldo ditransfer 😂",0,,
UgzBZYq0Q7mWMfID_jp4AaABAg,0,0,"2025-01-22 16:11:18",@ijonkdvs6022,"MUKANYA AJA UDH TOLOOL BEGITU",0,,
UgyQ-pSnzYEUYsvVNyl4AaABAg,0,0,"2025-01-20 22:19:13",@naufalalwan2174,"Orang manqtuh",0,,
UgzyCbwTJON2q0lUrXR4AaABAg,0,0,"2025-01-19 23:57:26",@uprasetyom,"Minta uang nya dulu baru isi dana jangan mau modus seperti ini ,ini ibu-ibu kurang ajar bukan nya taubat malah nipu",0,,
UgzHj-pGA7KDyp486fB4AaABAg,0,0,"2025-01-14 16:07:45",@jamalsopo4305,"😂Mas ngisi dana dong dasar penipu udah tua masih aja menipu orang ?",0,,
UgyuonJ8tlEKQj7kYq94AaABAg,0,0,"2025-01-09 14:50:43",@antonsukarwi8899,"😂😂😂😂 ntar d cek zonkkk ngasakkk mkn tuh anginnn",0,,
UgyHw7TPOQ0Rjc-SQ7J4AaABAg,0,0,"2025-01-09 04:32:08",@nolkecil7640,"Nah ini bisa dijadikan trik buat keamanan",0,,
UgzIaVPZpb-aSKD_Lyl4AaABAg,0,0,"2025-01-06 03:56:03",@sumarnawijaya7971,"Hati"" juga bagi ojol .Sabtu kemarin sy ditipu SM Ema""minta anterin kepasar Mampang..eh pas sampai ditempat ngga bw duit..dia kasih no suaminya..sy tlp suaminya dia minta no rek sy..suaminya bilang ditunggu ya..smpai saat ini blm ditf udh seminggu..sy driver grab lnteng agung",0,,
UgxVLOVhvCZNUUse29J4AaABAg,0,0,"2025-01-05 07:56:35",@GodelGodel-r9p,"Tangkep....sebar wajah pelaku untuk hati"".. .",0,,
Ugyz35PGqy1dQEivzel4AaABAg,0,0,"2024-12-29 09:22:15",@AndiSuwandi-b1i,"Kenapa sihdah tua Mak masih menipu itu gak halal dan ada pertanggung jawaban nanti .saya saja kerja keras biar dapat s dikit yg penting hasil keringat sendiri gak nipu orang",0,,
UgwDC0axzDG2Mf89NwN4AaABAg,0,0,"2024-12-23 15:44:34",@HariSyaputra-lx9gx,"kasiahn emak emaknya,, klo saya warung di sana kirim aja pake dana saya 1000 atau 2000.. angap aja sedekah..",0,,
UgyNQxP_r663eCtautp4AaABAg,0,0,"2024-12-14 06:29:17",@rendychristian6409,"Okee bagus2.",0,,
UgxxVtj8CWDwJ5wpcpJ4AaABAg,0,0,"2024-12-02 11:02:18",@HIBURAN_NUSANTARAA,"Kasihan itu cari nafkah buat anak istri, tangkap saja laporkan",0,,
UgyAp4p-L_oG5k8tn_t4AaABAg,0,0,"2024-11-29 02:47:05",@nurhayatiyayat9848,"Tangkap aja bang tuman",0,,
UgyN07o91HzDN3ihi8N4AaABAg,0,0,"2024-11-05 07:48:59",@Hilmiatini,"D kira gda cctv y bu. Skrg dh bnyk cctv yg ngumpet..",0,,
Ugwxvy4d1RxnsdqalMd4AaABAg,0,0,"2024-11-02 23:09:30",@samadhit6916,"Inti nya minta duit dulu baru isi saldo nya,dah bnyak modus seperti itu pura2 isi saldo tpi gk punya uang..",0,,
UgxocnQ8V64WJ6QeDpl4AaABAg,0,0,"2024-11-02 22:38:00",@NoviaIca,"pinter bang",0,,
UgyQTbtwNMiONpnqmmt4AaABAg,0,0,"2024-11-02 22:24:46",@Ss80824,"Ada uang = ada barang,,,alias uangnya mesti dminta dulu baru transaksi di proses.",0,,
UgwpodS20KZT4eQYW5J4AaABAg,0,0,"2024-11-02 15:51:15",@lauradewi2203,"Aksi gagal, wajahnya terkenal....😂😂",0,,
UgwjOGIkxoNIUJniudd4AaABAg,0,0,"2024-11-02 15:35:00",@suciptoragil7381,"Gara2 uang nopek malunya dibawa mati",0,,
UgwnGg5-stZOHdH5vVt4AaABAg,0,1,"2024-10-30 07:10:22",@hendri_s,"Cash is king !!....... selama belum ada duit ditangan modus apapun jangan dipercaya",0,,
Ugxj4sJ2wP9IriN5JjF4AaABAg,0,0,"2024-10-28 11:24:00",@NatanielNanlohy-k6m,"Top Up 1T ah tanggung 328T aja deh trs aku kabur yeeee😅😅😅😂😂😂",0,,
UgzNYJP9XuEomHA4a3F4AaABAg,0,0,"2024-10-13 08:40:20",@inpo7666,"malukaken itu berasal dr bhsa mana sih?",0,,
UgxrHHhpXsT3xvKyK3l4AaABAg,0,0,"2024-10-12 13:30:02",@GodelGodel-r9p,"Ini orang komplotan yang selalu melakukan penipuan di seluruh warung"" sekitarnya. Kalau gak bisa tertangkap pelakunya..... kebangeten....",0,,
UgxmbKp8o6FECI8TXZF4AaABAg,0,0,"2024-10-08 01:58:22",@michaeloeloem2181,"Orang madura itu emang pinter sedari dulu, yg bodoh itu yg bilang orang madura gak pinter..",0,,
UgxOk4iY0XPLOPlRLsd4AaABAg,0,0,"2024-10-05 01:16:27",@Uiii514,"Malu nya seluruh Indonesia...Mak siapa kah itu😂😂",0,,
UgzR_Kpk19hxXMVM_2Z4AaABAg,0,0,"2024-10-04 11:23:30",@silvylistya,"Mau kiamat, yg jahil merajalela 🤫🤭",0,,
UgzALZVsajEWDbiRxCB4AaABAg,0,0,"2024-09-28 15:09:04",@suhardiHardi-re9hx,"Hayooo emaknya siapa tuh ngaku ngaku 😁😁😁",0,,
Ugwanz2PUN6nQNyPxSl4AaABAg,0,0,"2024-09-25 12:15:47",@Muisi2100,"Paling mau buat main judol😂",0,,
UgxuVRmx-ExOF1O3ogF4AaABAg,0,0,"2024-09-25 01:01:14",@mastikatika187,Cerdas,0,,
UgyT9-Y5yFpB1ffsQzl4AaABAg,0,0,"2024-09-18 23:35:13",@jawahalmahera,"Makasih infonya sangat bermanfaat",0,,
Ugzl_sNgqct6eKoiXRF4AaABAg,0,0,"2024-09-15 07:24:23",@bear-ppp,"Klo saya jualan minta uang nya dulu baru dikirim saldonya",0,,
UgyMAYX9n05HmVFnr8N4AaABAg,0,0,"2024-09-13 18:00:04",@VarmolenDovanka,"Mampus.. Itu karma. Bnyk orang2 madura yg nipu orang lewat tlp, Itu kbnykan orang2 warung madura. Dari papa minta pulsa, ibu ketabrak lah. Itu rata2 orang madura yg punya warung. Gak ada kerjaan dia kerjain orang. Dari logat nya aja orng madura",0,,
UgyZ7MfWp-vhmCTjaDt4AaABAg,0,0,"2024-09-13 18:00:00",@VarmolenDovanka,"Mampus.. Itu karma. Bnyk orang2 madura yg nipu orang lewat tlp, Itu kbnykan orang2 warung madura. Dari papa minta pulsa, ibu ketabrak lah. Itu rata2 orang madura yg punya warung. Gak ada kerjaan dia kerjain orang. Dari logat nya aja orng madura",0,,
UgzNfDyJ0EUo8t9r1Vx4AaABAg,0,0,"2024-09-11 02:59:48",@verlan2736,"Terima dulu duit y baru d isi..klu orang ngotot mnta d isi dulu jgn mau",0,,
UgxHeNEpnM7I6iPKokp4AaABAg,0,0,"2024-09-10 12:52:29",@grahaltmills472,"Udah tua miskin nipu lagi😂",0,,
UgwfI-LyRffk4LT94A94AaABAg,0,0,"2024-09-10 08:45:26",@ArghaPakpahan,"Semoga mati nya sengsara bagi pelaku² penipu rakyat kecil...... Udah bau tanah masih juga melakukan hal seperti itu.....",0,,
UgzrhBbyXKTvAJ_ww2Z4AaABAg,0,0,"2024-09-06 15:07:31",@rhakaislam2623,"Mantap harus lebih hati2 klo kira2 gak ada yg beres..",0,,
