id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
Ugw2F9RGLGL9EUpM4Mx4AaABAg,167,331,"2023-05-06 04:09:56",@mrbert,"Ini lebih jelas wajahnya. dia penipu dari SURABAYA. https://youtu.be/Qa93-fcJUa4 Pendapatan dia Milyaran",0,,
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pY60AjlE-f,,63,"2023-05-10 17:57:05",@ALmusic749,"aturan no 1 ,jangan asal pencet link😂",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pZ1V58PVjw,,16,"2023-05-11 02:36:51",@SriRahayu-ud9zy,"Terima kasih bang Bert, atas informasi nya. Sayang sy baru lihat, ponakan baru aja kena, klw mau lihat posisi hp itu org dimana bagaimana yah bang, SM nama si pemake itu cterima kasih bang Bert 🙏",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pZGds2frpC,,12,"2023-05-11 04:49:15",@depanbelakang9900,"Bisa tolong lacak posisi penipu bang? Ortu ketipu 9jt jahat bangettt",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pZPOSATAde,,1,"2023-05-11 06:05:39",@delavinoshop4120,"​@ALmusic749 xh5e😢😮😢464😢f5😢😢😢🎉5ff😊gfjíł😅",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9paQngcbdK7,,0,"2023-05-12 00:56:27",@pakayik,"udah klw ketangkep di bakar aja",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9piTlnSI-bI,,2,"2023-05-15 03:56:20",@liyasajja72,"Tolong lah bg ya",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9plL8NIR5Tm,,2,"2023-05-16 06:38:38",@johanneshutabalian6086,"​@SriRahayu-ud9zy w ae dr43r rt",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9plX7ZAiPBW,,3,"2023-05-16 08:23:23",@bangpohanofficial902,"Bang bantu gw nyari org pemerkosa anak tirinya. Trus anak nya udah melahirkan dan di tinggal kan di kebun kebun terlantar jd saya suruh tinggal di kebun saya biar bisa hidup bersama anggota disana. No HP nya aktif bang",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9plXHg8dWJv,,3,"2023-05-16 08:24:46",@bangpohanofficial902,"Terus dia si pemerkosa ini kompak dengan istrinya menjual anaknya ke org lain di nikahkan terus habis itu mereka lari",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pqRLuyrTeJ,,1,"2023-05-18 06:09:07",@yusriliqrasubhanyusriliqra6076,"Bang tong bantuin dong lacakin hp dan nomor org yg sdah nipu adek saya",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9prA_t6T5R9,,1,"2023-05-18 13:01:51",@MuhamadRohim-eu5ru,"Ini saya kmrin kena tipu bang dana saya kena bobol minta info nya bang tolong respon komenan saya bang 🙏",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9ptOLlb3D5L,,7,"2023-05-19 09:40:36",@suliono7442,"Surabaya daerah mana detailnya ngko tak parani, saya mau bakar rumahnya, saya juga asli Surabaya",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pv8l_hHvJJ,,12,"2023-05-20 02:02:56",@hanifasapwk2245,"MAZ BRO KALO MMG BISA AMBIL DATA2 BHKN FOTO SI PENIPU BUSUK... SERAHKAN AJA LGSUNG KE POLISI AGAR SEGERA DICIDUK DITANGKAP... YAH MINIMAL BISA MENGURANGI KORBAN2 BERIKUTNYA.... DAN KALO MMG APARAT POLRI KITA ADALAH PENGAYOM MASYARAKAT (SPERTI SLOGANNYA) YAH SEHRSNYA RESPON CEPAT BEGERAK TANGKAP PARA PENIPU BUSUK BEJAT ITU... MANTUL LNJUTKAN TRUSS....",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pvERPMb_Hj,,2,"2023-05-20 02:52:28",@mrbert,"@hanifasapwk2245 Kalo aparat terlibat https://youtu.be/NE_OznIeXzU Sperti video ini. Gmn menurutmu?",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
Ugw2F9RGLGL9EUpM4Mx4AaABAg.9pMKAMlP5Ug9pwFmuYEXA1,,1,"2023-05-20 12:23:31",@abdurahman6040,"Laporkan aja ke pihak yang berwajib ....... Itu udah jelas ada fotonya.",1,Ugw2F9RGLGL9EUpM4Mx4AaABAg,@mrbert
