id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
UgwoVQb0aZKjDEu-TOh4AaABAg,0,0,"2026-04-04 13:47:28",@liminmua9148,"Apakah wa bisa dilaporkan ke polisi",0,,
UgyzlzkeqwAywStw7Op4AaABAg,0,1,"2026-03-31 12:24:47",@NANDARIZKYFIRMANSYAH-i5n,"Kok suaranya kaya familiar yah ,kaya suara yg sering nipu itu🤔?........",0,,
UgyJ75Zh0uls4w6eiPZ4AaABAg,0,1,"2026-03-31 12:22:40",@NANDARIZKYFIRMANSYAH-i5n,"Mending tanya ke Dola , soalnya ini banyak yg enggak bisa masuk padahal udah menuruti semuah tutor nya",0,,
Ugxh6jFr9ZuoN2r2ORN4AaABAg,0,0,"2026-03-14 13:39:21",@Rikmakartika,"Kak whatsapp saya di hack tapi ketika login ga ke buka aplikasi widget nya",0,,
Ugzm7k8MMlhCq6x2l9N4AaABAg,0,0,"2026-02-21 05:36:11",@dwiprasetya4499,"Info klau akun whatsap di kunci orang caranya gimna",0,,
UgyT58WSx0qRjUtpYCx4AaABAg,0,0,"2026-02-19 20:52:23",@watinggis6161,"Misalnya kartu nyh mati gimn 😊",0,,
UgwsIPdkspb0VYLAeUh4AaABAg,0,0,"2026-02-03 23:07:32",@rogerge1076,"Klo nomernya udh mati gimana?",0,,
Ugy19imSvcKf29YTP3l4AaABAg,0,1,"2026-01-16 16:32:45",@syahrani7522,"Sebenarnya no WA kita di bajak oleh seorang itu semua sudah rencananya dari oknum operator pusat nya.. karena para oknum itu menyimpan semua data.. walaupun sudah terhapus atau hilang tapi jejak nya masih ada di operator pusat yang lebih ahli.",0,,
Ugw4nh5t1JXiHD_65g54AaABAg,1,0,"2026-01-02 04:25:41",@ibrohim8227,"Tetap gajbisa malah ada keterangan anda mencoba masukan kode berkali kali",0,,
Ugw4nh5t1JXiHD_65g54AaABAg.ARTAdGerUF1ASWJYyFvW9f,,0,"2026-01-28 06:12:43",@anakbuaya4457,"Temen jg kena nh barusan dibajak orang wa'nya bang n pas login sama ky abang gtu kna banned 36menit krna ud nyoba berkali2 keterangan dr wa'nya. Trs gmn bang ud bisa blm wa abng? Klo ud bisa gimana caranya bng?",1,Ugw4nh5t1JXiHD_65g54AaABAg,@ibrohim8227
Ugxsg0aB9S-mRMaF7xd4AaABAg,2,0,"2025-11-05 14:51:34",@zain_gamis,"Kok aku ga bisa dapat kode nya ya, gimana caranya? Nunggu panggilan ga bisa, nunggu dpt sms ga ada, nunggu pesan suara juga ga dpt kodenya",0,,
Ugxsg0aB9S-mRMaF7xd4AaABAg.AP8x9iNPvP8APCkn7Pwj4z,,0,"2025-11-07 02:20:27",@ardimanise5428,"Berarti no sim mu yang dipakai Sekrg beda sama yang dipakai Wa,",1,Ugxsg0aB9S-mRMaF7xd4AaABAg,@zain_gamis
Ugxsg0aB9S-mRMaF7xd4AaABAg.AP8x9iNPvP8APCkvRFN9dQ,,0,"2025-11-07 02:21:35",@ardimanise5428,"Usahakan no wa sama dgn kartu sim yang dipakai Skrg..",1,Ugxsg0aB9S-mRMaF7xd4AaABAg,@zain_gamis
UgxBVV4T_b1P6raXRmp4AaABAg,0,0,"2025-11-03 14:14:10",@abdulazis-bk7gd,"Sdh masuk ke dlm wa tp tiba2 keluar trus",0,,
UgzO5UNOIf_02J96mt94AaABAg,0,0,"2025-10-31 10:44:03",@SahrulRamadhan328,"Bang sma akun whatsapp saya di hack gimna solusi nya bang terima kasih",0,,
Ugyy7PxpOyzKlU_jiz54AaABAg,0,0,"2025-10-08 21:26:42",@ajisgokil189,"Mau tanya no masih aktip tapi knapa Whatsap bisa kena hack, mau mintak kode otp tidak di kasih2, kalau ada yg tau bantu jawab ya terimakasih",0,,
Ugy22uWz49rCIEDIKM54AaABAg,0,0,"2025-09-28 13:38:31",@DydyKanzia,"Klo ini baru buat akun bukan tutor akun kena hack😅",0,,
Ugyp-DaU0oKA5MRLyZ14AaABAg,0,0,"2025-09-28 04:10:14",@hidayats9999,"Kalau seperti memang bisa login login lagi tap yang terjadi di whatsapp tidak bisa login yang ada tertulis ""akun ini tidak bisa memakai whatsapp""",0,,
UgzhXywwNXXGI_zV6o14AaABAg,0,0,"2025-09-04 01:46:01",@RatnoLuanmaseKarvan,"Saya kenal tipu mengatasnamakan djp Akun whatsapp saya langsung diambil alih oleh penipu tersebut, sudah saya lakukan cara seperti ini tapi tidak berhasil.",0,,
UgyxtUNNJddNXJpU9694AaABAg,2,0,"2025-08-14 02:20:48",@Daripenelusurananda,"Nenek gua jg bisa kalo begini,yg susah ferifikasi 2 langkah kocakk",0,,
UgyxtUNNJddNXJpU9694AaABAg.ALmtGIGyOGkALnH2jWJCGo,,0,"2025-08-14 05:57:24",@GKHVID,"Pliss sama bgt punya ibu gw jg verif 2 langkah, gmna caranya ya 😭",1,UgyxtUNNJddNXJpU9694AaABAg,@Daripenelusurananda
UgyxtUNNJddNXJpU9694AaABAg.ALmtGIGyOGkALnjkNzg679,,0,"2025-08-14 10:16:54",@Daripenelusurananda,"​@GKHVIDkalo dijelasin ribet caranya,gua baru aja semalam kena,prosesnya setengah hari gua benerin",1,UgyxtUNNJddNXJpU9694AaABAg,@Daripenelusurananda
UgyXSic-91vBqWKWIdt4AaABAg,1,2,"2025-07-18 03:25:00",@Rynz-p5c,"gmn? Bg masalah nya itu kodenya dikirim ke nomor WhatsApp kita yg di ambil orang lain jadi kodenya masuk ke hp orang",0,,
UgyXSic-91vBqWKWIdt4AaABAg.AKhU8oPwS1dAKsfexDTE9C,,0,"2025-07-22 11:46:01",@erzlatamala6669,"Iya saya juga ga bisa..padahal simcard nya udah diganti sama saYa",1,UgyXSic-91vBqWKWIdt4AaABAg,@Rynz-p5c
UgyegmtBJw0jbMRphpB4AaABAg,1,0,"2025-07-18 03:06:46",@yuliaayuningsih4781,"Masalahnya saya tidak menerima kode apa pun",0,,
UgyegmtBJw0jbMRphpB4AaABAg.AKhS3GFQuIQAKhU-u-fect,,1,"2025-07-18 03:23:47",@Rynz-p5c,"Masalnya itu kodenya dikirim ke nomor kita yang di hack orang lain gtu berarti masuk ke hp orang lain",1,UgyegmtBJw0jbMRphpB4AaABAg,@yuliaayuningsih4781
UgzoDhdNbMMfpS8fKcJ4AaABAg,0,0,"2025-06-24 11:49:25",@RudiKurniawan-p2r9o,"Kalau HP ku minta kirim kode",0,,
UgzjlHHXHQl2QxIb0_Z4AaABAg,2,0,"2025-05-30 16:45:06",@alecxvanka176channel,"Assalamualaikum bg klau no watshapp saya di ambil org TPI gak bisa timbul kode otp atau verifikasi nya bg cara nya gi mana",0,,
UgzjlHHXHQl2QxIb0_Z4AaABAg.AIkjl5XtdGPAJ841LtBgo5,,0,"2025-06-09 03:32:44",@hendriksupriadi5397,"Saya juga sama bgtu",1,UgzjlHHXHQl2QxIb0_Z4AaABAg,@alecxvanka176channel
