id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
Ugzr67zFeXh5w-EToM94AaABAg,1,2,"2026-03-25 13:39:01",@Rizff-j7m,"Ke sini gara² ff",0,,
Ugzr67zFeXh5w-EToM94AaABAg.AUmJ8pcBJO2AUsnpaBKVUs,,0,"2026-03-28 02:11:19",@koizganteng6257,sama,1,Ugzr67zFeXh5w-EToM94AaABAg,@Rizff-j7m
UgxqztEk_XwmJlM3j5Z4AaABAg,0,0,"2026-03-16 18:22:25",@AhmadZaini-w7f,"Kok beda tampilannya apalagi menunya gak kayak gitu cara hapus akunnya juga beda tapi pas masukin sandi malah salah masukin kode salah juga sekarang gak bisa pakai fitur lupa kata sandi pasti balik ke halaman utama 😢",0,,
UgwtbyZ2x1yQXL3v_4V4AaABAg,0,0,"2026-03-05 15:27:55",@JohanCabaye-z4n,"Sumpah meta facebook skrg «2026» lapar akun bngkee🤬",0,,
UgzZSAgwUi0beo70K554AaABAg,0,1,"2026-01-22 04:41:28",@pantau684-c7r,Terimakasih,0,,
UgxU6_Xc6o_Pch6kEwF4AaABAg,1,1,"2026-01-14 07:43:47",@MadGobres-p4g,"Terimakasih bang",0,,
UgxU6_Xc6o_Pch6kEwF4AaABAg.ARxQqnGF7lvARxng5cdY02,,0,"2026-01-14 11:12:03",@makinVIRAL,"Terimakasih kembali ya",1,UgxU6_Xc6o_Pch6kEwF4AaABAg,@MadGobres-p4g
UgwK6SkStoBEXX82OB54AaABAg,0,0,"2025-11-29 13:22:49",@putraperdana4941,"Inti nya jangn gunakan faceboock lagi...karna apk ini sudah ada celah..untuk di bobol ...demikian",0,,
UgwYhEsll11YWmlW6ip4AaABAg,0,0,"2025-10-15 03:29:56",@JerukKecut-f9l,"Lupa sandi bgmn",0,,
UgxppbYp2I4rco9yepF4AaABAg,0,0,"2025-10-09 09:01:04",@AiniBintiFulanah,"BANG SOLUSINYA DONK. DI AKUNKU TIDAK ADA . GIMNAA???? TOLONG DONK BANG. AKUNKU SUDAH DIBOBOL ORANG. Pengikut dah banyak kenangan dah banyak",0,,
UgzhDAvGzT81XcDlX654AaABAg,0,0,"2025-08-04 19:24:10",@Rungkad91-gf7mq,"bang aku pas proses akhirr,periksa keamanan malah masuk ke akun fcbok,gmn tuh bang",0,,
Ugxk4ccRu1rS6F6q-nt4AaABAg,0,0,"2025-07-18 11:34:18",@ocypipit8152,"Kok aq g bs ubah kt sandi y ketranganya anda terdeteksi mnggunakan perangkat yg tdk biasa,tunggu bbrpa saat. Itu knpa y?",0,,
UgzMOKvzN7BrM5ZTrc94AaABAg,0,0,"2025-07-04 14:53:51",@KeluargaMetal-l2m,"Work dong",0,,
UgwGaik3SYQkC-78Lep4AaABAg,0,0,"2025-07-04 14:49:04",@KeluargaMetal-l2m,"Halk ketua",0,,
UgyRJfPo9Go4Sj3Krq54AaABAg,0,0,"2025-06-29 02:31:17",@Basnoanno-o1g,"Mas klo udh aku stel swmua knp klo aku masuk pwriksa keamann.lansung muncul masuk ke fb lite adngkn say ngk mempunyai fb laite",0,,
Ugy77y8zWK5Y5ttjmYJ4AaABAg,0,0,"2025-06-04 06:10:08",@MazEmon-k6z,"Hacker lebih pintar?",0,,
UgwCJjjnoxP4mr_3jkh4AaABAg,0,2,"2025-05-13 07:30:17",@agusevita654,"pertanyaan saya bang,kalo sewaktu hp mati ato hilang bagaimana cara loginnya soalnya kalo pake hp lain pasti hp yg terdahulu yg harus mengijinkan login",0,,
UgzMCgoMaNmi7zCa8EV4AaABAg,0,0,"2025-05-08 10:22:54",@dsproject7314,"Poin nomor 3 kunci ke amanan, gimana cara aktifkan nya pak ?",0,,
Ugw2VebY9jfmA9wUID94AaABAg,0,0,"2025-04-15 12:53:49",@adinagaming4537,"Akun aku tbtb jualan Motor NMax di MarketPlace. Bangke antara ke hack kalo gak ada celah MarketPlace di FB",0,,
Ugw4rWR_ahS0fE5lZWl4AaABAg,0,1,"2025-04-14 07:13:04",@MuntahaMbahmun1969,"suwun pak sudah mau berbagi ilmu pada orang lain",0,,
UgzT3J0meu1CPPtjSBF4AaABAg,0,0,"2025-03-21 03:39:42",@MarCell-g2b,"Kok yg aku pake kata sandi?",0,,
UgwLiTEo9r6mFy6Da_F4AaABAg,0,0,"2025-03-15 00:00:06",@Erwinkece-k8k,"Aku klo bingung apa apa aku langsung ke konten abang",0,,
Ugxn4eKq-EF75IvUAMJ4AaABAg,2,3,"2025-03-12 12:27:54",@antoasik2450,"Terima kasih bang,cara nya bisa menjaga akun",0,,
Ugxn4eKq-EF75IvUAMJ4AaABAg.AFZrXEUmJyrAF_E-NtjUOj,,1,"2025-03-12 15:53:00",@makinVIRAL,"Semoga bermanfaat",1,Ugxn4eKq-EF75IvUAMJ4AaABAg,@antoasik2450
Ugxn4eKq-EF75IvUAMJ4AaABAg.AFZrXEUmJyrAFa6SgSTGsp,,0,"2025-03-13 00:06:20",@antoasik2450,"@makinVIRAL ya bang terima kasih",1,Ugxn4eKq-EF75IvUAMJ4AaABAg,@antoasik2450
UgyMMEGLjs-p8KNPhWF4AaABAg,0,0,"2025-03-05 03:39:13",@AjiP-o4q,"Pasti gara ²akun ff",0,,
Ugwvpn1pwQBmrPD0AHl4AaABAg,0,1,"2025-02-28 05:00:53",@Dewisukma-w6v,"Trimakasih mas👍",0,,
UgyKlUQ-KA1SAQzG4kx4AaABAg,0,0,"2025-02-27 03:04:58",@SitiJanah-x2u,"Fb aku dlu di heck org ga dikenal",0,,
UgxLGFnbLEWuiTOKWFJ4AaABAg,0,0,"2025-02-18 15:39:48",@EvaSukmawati-v8m,"Kalau aku pas pemeriksaan keamanan bang langsung ngk kaya gtu Mala msuk di FB 😢",0,,
UgwvVDL5XS56zTOW4Ul4AaABAg,0,0,"2025-02-17 15:32:18",@YohanaKwuta,"Gimana ya kalau kita uda ganti sandi tpi perangkat lain bisa buka lagi. Walaupun dia sudah hps ttp akunya sendiri muncul lagi?",0,,
UgwMDzACSC0TN0Af4gF4AaABAg,0,0,"2025-01-26 03:55:52",@putraanakmakassar1286,"BG cara nya update kata sandi FB nya supaya gak di heck",0,,
UgzmxwtawcUuFqueMGF4AaABAg,0,0,"2025-01-22 10:47:09",@RezaJeneponto,"Gua yg adu mekanik ama jb☠️",0,,
