id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
UgwIG_XGAKkS38jnzFJ4AaABAg,0,0,"2026-05-02 09:44:34",@milaonly186,"No 4, COD fiktif pernah dapet... Yg nerima krn lansia, ga paham, ngasi aja cash. Paketnya ga bole diliat / dicek sbelum bayar COD nya. Pdhal ga pernah pesen COD. Yg ke-2x, lgsung ditolak dah .",0,,
Ugzom75LIFmYoW4A3z94AaABAg,0,0,"2026-04-20 17:07:38",@1cybertechxys,"Tolak saja kalo gak merasa pesan. yang penting jangan di buka. kalo kurir maksa suruh bayar laporkan CS. Kalo ada spam paket sperti ini laporkan ke CS marketplace untuk nomor transaksinya, dari nomor transaksinya nanti CS bisa tahu semua. pemesan siapa . lokasi dimana. kalo alamat / gps pemesan / ip adress / nama rekening pembayaran nya terindikasi ada hubungannya dengan penjual maka nanti akan di banned akun penjual & pembelinya. jadi segera lapor ke CS , jangan di biarkan saja. nanti terus2an oknum seperti ini. kalo kejadian ini terjadi berulang terus dan benar2 merasa dirugikan segera laporkan ke polisi",0,,
UgzyTDcSCy3l-STFa794AaABAg,0,0,"2026-03-24 14:12:09",@omdhi495,"Melindungi & mengayomi",0,,
UgxveOj2mTNQ6RXgQWl4AaABAg,0,0,"2026-03-18 17:11:48",@adinrafi8053,"J&T dan Ninja Van express sepertinya sudah disusupi oleh mereka2 ini. Tahu no resi kita.",0,,
Ugx65MOh4LCXTiSDs6d4AaABAg,0,0,"2026-03-18 12:28:37",@mtobing3103,"Maka nya para konsumen jgn terlalu bangga dgn online percuma ada Mall dan supermarket . Jgnmau senang ssja .",0,,
UgzoL5Jg2PmBH7Zcydx4AaABAg,0,0,"2026-03-18 05:58:18",@JolingChandra-b3l7f,"Manusia BUNUH Manusia karena UANG di Bumi ini sudah jadi Api neraka kekal 😭😭😭waspada manusia!!!!!!",0,,
Ugw6nE8p8s4pyzrT1fp4AaABAg,0,0,"2026-03-17 11:57:15",@pramonopramono6944,"Betul saya hampir kena alasan barang ditahan beacukai barang impor padahal minyak sanco",0,,
UgyHg98OseT08t4LJr54AaABAg,0,0,"2026-03-16 05:26:56",@FelishaZein,"Peran Polisi Penegak Hukum apa? Bergerak kalau ada U...",0,,
Ugx9fjJKMwLkxu3Nde94AaABAg,0,0,"2026-03-13 23:28:25",@hijrimulianto3737,"Modus paket sering dialami dari Nomor HP dg foto atau gambar pesanan barang sama persis dg print barcode yg dicetak ekspedisi. Anehkan!!! Sama persis dg pesanan kita!!! Artinya hacker berhasil mencuri data pesanan pelanggan yg masuk di ekspedisi. ekspedisi apapun berhasil dibobol dg modus di video. Bagaimana tindakan Kominfo memback list pemilik nomor HP yg digunakan tsb???? Kan beli nomor Kartu mestinya pake KTP / NIB Perusahaan. Buka nomor pengaduan agar nomor"" bermasalah bisa di blokir selamanya, jangan diam aja donk.",0,,
UgxK0iMLzPr2Qi60E0h4AaABAg,0,0,"2026-03-12 11:03:35",@de-titi,"Seiring dg canggihnya tehnologi, kejahatan juga semakin canggih 😧😧",0,,
