id,replyCount,likeCount,publishedAt,authorName,text,isReply,isReplyTo,isReplyToName
Ugwfl64hn-eLEF37U894AaABAg,33,636,"2025-01-08 02:54:25",@RizkyRiplay,"Yang belum nonton part 1 cek disini ya! https://youtu.be/MzHuFwXUgBY ",0,,
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0cyWwv7ib,,29,"2025-01-08 03:04:30",@safidinsyahikhsan8196,"Semangat bang rizky riplay😆😆🤩🤩😆😆 di tungguh ya episode berikutnya😆😆😆😆",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0d7HPzSxq,,21,"2025-01-08 03:05:49",@WindhaMutiara-dl8dv,"Wahh aku selalu nntn ,dan suka ngelike",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0dAbq_FUd,,8,"2025-01-08 03:06:17",@safidinsyahikhsan8196,"Aku bolehnya ga ya recomendasi untuk animasi berikutnya kalau Kak rizky replay tidak keberatan???? Dan berharap di buatkan animasinya😄😄 nantinya",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0hW0q70n3,,5,"2025-01-08 03:44:09",@ReddyanaRose-tn7yv,"@RizkyRiplay ohh yura jadi junalist hutang pinjol mantap nih bisa ngukapan kerja nya pak Karna 🥴🥴",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0iIfm6aP3,,3,"2025-01-08 03:51:04",@ut33jyo,"aku udh nonton yg part 1",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0itI1RmnQ,,3,"2025-01-08 03:56:12",@ReddyanaRose-tn7yv,"@sambuff_privat12  iya sama juga saya juga udah nonton part 1 nya sama part 2 lagi 👍",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0jguiMAHk,,2,"2025-01-08 04:03:15",@Udinnial,"bang boleh gk bagi pengalaman aku di buat cerita dsini.. Biar jadi motifasi buat penonton.. Aku mantan 114 bang",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0kfVy1M-E,,1,"2025-01-08 04:11:48",@ownertravelmhu,"Mantap bg",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0mSK_DLbL,,1,"2025-01-08 04:27:21",@miawwwwwwwwwwwwwwwwwwwwwwwwwww,Ok,1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0m_HxF5l1,,1,"2025-01-08 04:28:26",@EvanAkmar-ik9tj,Mantap,1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0nokiORVl,,1,"2025-01-08 04:39:17",@lukinia433,"Penonton setia meskipun. Telat 1 jam 😂😂😂❤❤❤❤",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
Ugwfl64hn-eLEF37U894AaABAg.AD0boi6gVqAAD0pJWOY5Mz,,1,"2025-01-08 04:52:21",@jufrimuhamamm16,"makasih,udah upload, video lgi semangat,trussss kontennnya 👋. absen Lampung Barat, Hadir",1,Ugwfl64hn-eLEF37U894AaABAg,@RizkyRiplay
