slang,baku
gw,saya
gue,saya
gua,saya
ane,saya
aq,aku
lu,kamu
lo,kamu
elu,kamu
loe,kamu
lw,kamu
gak,tidak
ga,tidak
gk,tidak
nggak,tidak
ngga,tidak
enggak,tidak
kaga,tidak
kagak,tidak
tdk,tidak
ndak,tidak
udh,sudah
udah,sudah
uda,sudah
dah,sudah
sdh,sudah
blm,belum
belom,belum
blom,belum
bgt,sangat
banget,sangat
bngt,sangat
dgn,dengan
yg,yang
dr,dari
utk,untuk
buat,untuk
krn,karena
karna,karena
krna,karena
aja,saja
doang,saja
klo,kalau
kalo,kalau
klau,kalau
gmn,bagaimana
gimana,bagaimana
gmna,bagaimana
knp,kenapa
knpa,kenapa
jd,jadi
jgn,jangan
dpt,dapat
org,orang
tp,tetapi
tpi,tetapi
tapi,tetapi
bs,bisa
trs,terus
msh,masih
emang,memang
emg,memang
bener,benar
bnr,benar
nih,ini
tuh,itu
kyk,seperti
kayak,seperti
kek,seperti
cuma,hanya
cmn,hanya
cman,hanya
skrg,sekarang
skg,sekarang
hrs,harus
lgi,lagi
pdhl,padahal
sm,sama
dpet,dapat
dapet,dapat
ngapain,mengapa
gpp,tidak apa apa
gapapa,tidak apa apa
bgs,bagus
trus,terus
tf,transfer
trf,transfer
abis,habis
rek,rekening
