unified_id,platform,source_category,vector_hint,text_clean,label
UID052502,YouTube,malware_apk,phishing_rekayasa_sosial,"di series hacking google dibilang, kebanyakan hacking/ pishing ini terjadi karena kelalaian dari user. kalau disini bang dea bilang social engineering, yang itu powerful banget buat menggiring korban untuk install aplikasi mereka.",phishing_rekayasa_sosial
UID043399,YouTube,judi_online_pinjol,judi_online_pinjol,"yuk trending kan guys, semoga para pemain judol sadar dari penipuan ini, soalnya benar ini itu bukan gambling lagi, tapi setingan agar kalah terus",judi_online_pinjol
UID033598,YouTube,judi_online_pinjol,judi_online_pinjol,"tobat guaa kalo gini anjj [EMOSI_SEDIH] [EMOSI_SEDIH] [EMOSI_SEDIH] hbs menang 17juta eh habis buat main lg, kalah gua bingung, gua terpaksa pinjol 9 juta, kirain bakal memang taunya habiss, skrng utang pinjol gua 9 juta",judi_online_pinjol
UID053885,X,penipuan_ewallet_qris,penipuan_ewallet_qris,penipuan qris palsu di masjid: polisi minta masyarakat konfirmasi usai beramal online: polisi meminta masyarakat yang hendak beramal secara online atau dari di masjid untuk mengkonfirmasi kembali ke dkm. [URL],penipuan_ewallet_qris
UID051898,YouTube,malware_apk,malware_apk,"[USER] klo download doang tnpa install mh gakan auto play. mesti ada trigger dr victim. misal udh kedownload trus kepencet install itu baru sih. banyak sih cara untuk lakuin hal kaya gitu.. bisa method phising dgn shorturl di redirect force untuk install apk diluar playstore. simplenya dgn phising shorturl dgn webclone yg mirip bgt dgn aslinya, supaya si victim percaya itu adalah website asli(misal bank) ada form data diri dll.. yg membedakan hanya url domain aja.. klo apk emg yg bener2 pro sih buat lakuin cybercrime krn udh advance level setau gue.",malware_apk
UID033855,YouTube,judi_online_pinjol,judi_online_pinjol,otak nya di bakar baru sadar bagi pemain judol,judi_online_pinjol
UID044423,YouTube,judi_online_pinjol,judi_online_pinjol,orang terbodoh adlh orang yg berharap dan main di judol mengharapkan kemenangan yg selalu bisa menang dan pastinya selalu nyata kalah,judi_online_pinjol
UID046016,YouTube,judi_online_pinjol,judi_online_pinjol,"dari sini aku paham 1.jangan nikah diawal mula sekolah seperti sma smp kuliah,karena dapat merugikan kita seperti belum dapat ijazah apalagi belum dapat pekerjaan 2.menikah lah diusia yg pantas seperti 22-25 thn an agar tau sebagai mana mencari kerja 3.cari kerja bukan lah gampang pasti ad yg susah butuh orang dalam untuk mendapatkan pekerjaan 4.jangan bermain judi slot karena itu hanya penipuan dalam aplikasi modus",judi_online_pinjol
UID043554,YouTube,judi_online_pinjol,judi_online_pinjol,"coba deh yang punya android masuk aplikasi pengelola telepon, terus optimalkan.. pasti ada promosi judoll. percuma sekarang aplikasi bawaan hp juga mempromosikan judol.",judi_online_pinjol
UID051134,YouTube,malware_apk,phishing_rekayasa_sosial,sy baru 3 hari kena penipuan foto paket .... aplikasi dana sy dibobol .... skrg msh suka ada kode otp masuk ke sms sy untuk aplikasi lain .... apakah yg hrs sy lakukan ....apakah no sy hrs di unreg ?,phishing_rekayasa_sosial
