"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2067494152313700545","2026-06-18T06:26:32.000Z","0","Waspada Qris Palsu https://t.co/suI7fTo3Wm","2067494152313700545","https://pbs.twimg.com/media/HLE2-B-a8AAoFfi.jpg","","in","","0","0","0","https://x.com/roy27881781/status/2067494152313700545","1565904245815386112","roy27881781"
"2066477598029525283","2026-06-15T13:26:02.000Z","1","@danawallet awas qris palsu gais, thanks min infonya mantul","2066512558945935635","","danawallet","in","","0","0","0","https://x.com/nentiroweti/status/2066512558945935635","1834300253098704900","nentiroweti"
"2066477598029525283","2026-06-15T12:30:46.000Z","1","@danawallet qris palsu dimana mana, lebih hati2 lur biar gakena tipu 👍","2066498652005372018","","danawallet","in","","0","0","0","https://x.com/Garangan_bewok/status/2066498652005372018","1834306289306140675","Garangan_bewok"
"2055121020835561647","2026-05-15T13:21:43.000Z","5","@danawallet udah beres deh urusan qris palsu berkat dana","2055277447189577987","","danawallet","in","","0","0","0","https://x.com/dadansenoo/status/2055277447189577987","1996254274444230656","dadansenoo"
"2055257545363890463","2026-05-15T12:02:38.000Z","2","Anjir lah. Keknya emg qris ini perlu disosialisasi biar
1. Penjual nakal yg ngasi admin g jelas
2. Pembeli nakal yg bikin qris palsu
Kek akshhaaj dia emg praktis tp banyak celahnya juga yh jir","2055257545363890463","","","in","","0","0","0","https://x.com/U_dangkeju/status/2055257545363890463","1747981560861872129","U_dangkeju"
"2054471710976430343","2026-05-13T08:00:00.000Z","0","Waspada Modus Baru Penipuan Daftar Nikah Gunakan Logo Kemenag dan QRIS Palsu

https://t.co/RkydB1tkq5","2054471710976430343","","","in","","0","0","0","https://x.com/KompasTV/status/2054471710976430343","71436318","KompasTV"
"2054413421144375506","2026-05-13T05:46:14.000Z","126","@gadinglyfe jahat banget asli yang nempelin qris palsu nya, emang dari pihak bank nya gak bisa di track ya?

jujur aku awam banget sih.

apalagi kan jual makanan perputaran uang dan modal nya kan gede banget tuh, kalau 3hari pasti kerasa banget juga sih, gak tau recovery nya berapa lama.","2054438048029663563","","gadinglyfe","in","","0","0","1","https://x.com/iyaasintaa/status/2054438048029663563","1588774882627956736","iyaasintaa"
"2054397566020968586","2026-05-13T03:05:23.000Z","1254","🚨 [PSA] 🚨

Karena Comifuro tinggal menghitung hari, kan udah banyak guide yah buat pemula atau pengunjung yang ingin ke Comifuro dari memperhatikan pakaian, bau badan dan sebagainya

Nah, nggak cuma pengunjung nih yang perlu diingatkan, tetapi para circle yang berjualan, apakah","2054397566020968586","","","in","","26","5","582","https://x.com/Oshika_Yokugi/status/2054397566020968586","1326437627130642432","Oshika_Yokugi"
"2050891636885033297","2026-05-03T10:54:04.000Z","5","Yg gw temuin biasanya yg ad adminnya kyk gini tuh yg pke qris ad suara notifnya suara kenceng itu. Tp yg qris tempel biasa gk ad admin","2050891636885033297","","","in","","0","0","0","https://x.com/theshhflower/status/2050891636885033297","1300468552521015296","theshhflower"
"2048391313066991662","2026-04-27T07:06:06.000Z","13","@mhuseinali QRIS bukan inovasi. Ini cuma standar QR code China yang dibungkus logo BI.
2025-2026, penipuan QRIS palsu meledak 160%.
Stiker palsu ditempel di mana-mana: SPBU, masjid, terminal, warung, bahkan posko mudik Lebaran.
Korban scan, uang langsung lenyap ke rekening penipu.
Data Polda","2048659941045719078","","mhuseinali","in","","1","6","0","https://x.com/bulja27/status/2048659941045719078","1722142763079311360","bulja27"
