comment_id,author,text,likes,replies,published_at,is_reply
Ugzg7R1Nrw9UJ8zBzX94AaABAg,@IqbalQoreshi,"""Kenapa kok wajah pelakunya disensor?""

Ini adalah video reupload, video yang  ORI saya buat tanpa sensor sama sekali, dan baru saja tayang 1 hari langsung di takedown youtube karna disebut ""Ujaran Kebencian"", jadilah saya sensor dan upload ulang.

Untuk yg mau tau Update laporan saya ke polisi gimana?
Bisa ditonton disini https://youtu.be/hyRq0ap_MuU

Buat yang mau liat versi saya telfonan full dan tanpa sensor sama sekali, bisa ditonton disini https://youtu.be/gwXj0dT2NfQ?feature=shared",60,16,2024-05-21T03:49:31Z,False
Ugzg7R1Nrw9UJ8zBzX94AaABAg.A3gKhDMPQNEA4PHDcjgTDZ,@SriPutri-gd3ti,"Kaka mending 1,5jt sedangkan aku kak kena tipu habis puluhan juta gara"" kena tipu juga kk tp gimna kk caranya biar uang bisa kembali kk soalnya tuh uang buat makan hari"" kk dan juga buat modal usaha kk mana buat anak masuk sekolah aku sdh lapor kepolesk ya sama ky kk dioper sana sini bikin koran juga",2,0,2024-06-08T00:04:11Z,True
Ugzg7R1Nrw9UJ8zBzX94AaABAg.A3gKhDMPQNEA4PHN2Gg170,@SriPutri-gd3ti,Harusnya tahun ini anak aku sdh seklh terpaksa ditunda lagi,2,0,2024-06-08T00:05:28Z,True
Ugzg7R1Nrw9UJ8zBzX94AaABAg.A3gKhDMPQNEA4nznirujgJ,@HamzanPradipta,"Kka hebat inget gt bisa ngevideo pas waktu ditelpon penipu.. Saya ga, inget kesitu... Jadi bukti cuma WA dr penipu ny aja",1,0,2024-06-17T23:43:29Z,True
Ugzg7R1Nrw9UJ8zBzX94AaABAg.A3gKhDMPQNEA4nzzXRUnt4,@HamzanPradipta,"@SriPutri-gd3ti semoga yg ditipu selalu dilancarkan rezekinya Kka... Kita berdoa... Tiap hari y Kka, untuk tidak didholimi lagi",4,0,2024-06-17T23:45:05Z,True
Ugzg7R1Nrw9UJ8zBzX94AaABAg.A3gKhDMPQNEA4pHIbyWB7_,@aso-hd5gy,"​@HamzanPradipta sy juga pernah diretas 10 hari sampai wa sy di ambil alih sma si peretas sampai sy tlpn ke semua aplikasi yg pernah sy loginin,sampai makan juga cuman 1sendok,juga ampir gak masuk,soalnya takut di salah gunakan
dan sy berdoa pada alllah pas ashar soalat tepat waktu,kata ustad doa yg mudah di jabah atau di kobul pas waktu solat ashar tepat waktu pas waktu sholat shubuh tepat waktu dan orang yg di dolimi kalau gak salah🙏,dan sy setelah berdoa memohon pada allah,biar wa sy balik lagi,dan pas malam nya sy terus berusaha di loginin lagi biar veripikasi nya masuk kesy lagi,sola nya udah bbrapa hari gak bjsa masuk,pas sy coba alhamdulillah wa sy balik kagi sendiri,di kkbul sm alllah,alhamdulillah,terima kasih ya allah💚💚💚",0,0,2024-06-18T11:44:22Z,True
UgyCLd7w8MWY2QAKmDp4AaABAg,@kakinaruto4668,Aku nk grlak ni bodohhhnya,0,0,2026-06-18T08:28:00Z,False
UgzJQUUCbuoJmR7H7cF4AaABAg,@idocipp9936,"Cara awal penipu menipu ada adalah.. mencari tahu data anda dari anda sendiri..! Jika anda tidak mengatakan sendiri data anda ke orang tersebut, penipu itu tidak tahu data anda,, yang pertama nama, kedua nomor kontak , lalu bisa merembet ke nomor KTP atau ke nomor rekening/ATM,,
Jadi jika mereka sudah merembet ke nomor KTP, atau ke Nomor ATM/rekening,, jangan pernah di tanggapi..
Karena mereka akan menggunakan data anda yang sudah diterima dari anda sendiri untuk meyakinkan diri anda kalau mereka itu bukan penipu..
Jadi jika anda menanyakan data diri anda,,! Suruh dia yang nebak sendiri ..! Jangan pernah percaya perbankan dengan transaksi via call..!! Jika anda ingin ngurus perbank'an paling aman menggunakan Via langsung datang ke bank..",0,0,2026-06-13T01:59:45Z,False
UgxjvnpdJBEAvVVRUWl4AaABAg,@ahmadely-uu1rn,Baru sadar klo bodoh,0,0,2026-05-18T05:15:17Z,False
UgwrKqVIcE9cmczmJLB4AaABAg,@msfoodlicious,"Eh sy pernah ditelpon sama mba2 logatnya batak. Ktny ada paket atas nama sy dan ilegal krn isinya penting spt paspor dan kartu atm. Trus bakal disambungin ke polisi sama dia. Sy tny kartu apa, cimb niaga ktny. Sy bls sy telpon cimbnya langsung deh. Ga usah mba, bs lewat kami saja, sambungkan lgs ke polisi kalimantan. 😂
Iya iya sy telpon cimb niaga dlu ya. Iya silahkan ktny. Abis itu sy ga pernah denger lg dari dia. 
Klo ada telpon ga ada nama sy reject, trus sy masukin get contact dan sy block. 😊",0,0,2026-05-10T02:12:19Z,False
